"ID","User","Manufacturer","Batch No","Product","Status","Device Token","Device Name","Reason","Description"
"8885019","XIAOMI 15","-","-","-","Not Scannable","ed02fb37a6e9c858","Xiaomi 15","Physical Damage","Ggfdddddd"
"8885020","XIAOMI 15","-","-","-","Not Scannable","ed02fb37a6e9c858","Xiaomi 15","Physical Damage","Ggfdddddd"
"8885021","XIAOMI 15","-","-","-","Not Scannable","ed02fb37a6e9c858","Xiaomi 15","Physical Damage","Ggfdddddd"
"8885048","XIAOMI 15","-","-","-","Not Scannable","ed02fb37a6e9c858","Xiaomi 15","QR Tampered","Baba
Hwhwh
Hwhshah
Uwhw"
"8885049","XIAOMI 15","-","-","-","Not Scannable","ed02fb37a6e9c858","Xiaomi 15","QR Tampered","Baba
Hwhwh
Hwhshah
Uwhw"
"8885050","Vivo","-","-","-","Not Scannable","d3d45a455d4dc31f","V2503","QR Tampered","-"
"8885051","XIAOMI 15","Arihant","B155-gluco09","Glucometer","Not Scannable","ed02fb37a6e9c858","Xiaomi 15","QR Tampered","Baba
Hwhwh
Hwhshah
Uwhw"
"8885053","Vivo","-","-","-","Not Scannable","d3d45a455d4dc31f","V2503","QR Tampered","-"
"8885056","XIAOMI 15","-","-","-","Not Scannable","ed02fb37a6e9c858","Xiaomi 15","Physical Damage","Dhehebshe
Bshehhe
Hshehndje
Shhebehejenbd
Ndbdndjen
Shhebehjeshehbs
Jsbebdnndnd
Hshshdndnnd
Dhhsbshejsh
Dnsjndndnnd
Sjhsbdndnndndnndjsndnsj
Ndjdndjndndndndnd"
"8885057","XIAOMI 15","-","-","-","Not Scannable","ed02fb37a6e9c858","Xiaomi 15","Physical Damage","Dhehebshe
Bshehhe
Hshehndje
Shhebehejenbd
Ndbdndjen
Shhebehjeshehbs
Jsbebdnndnd
Hshshdndnnd
Dhhsbshejsh
Dnsjndndnnd
Sjhsbdndnndndnndjsndnsj
Ndjdndjndndndndnd"
"8885058","XIAOMI 15","-","-","-","Not Scannable","ed02fb37a6e9c858","Xiaomi 15","Physical Damage","Dhehebshe
Bshehhe
Hshehndje
Shhebehejenbd
Ndbdndjen
Shhebehjeshehbs
Jsbebdnndnd
Hshshdndnnd
Dhhsbshejsh
Dnsjndndnnd
Sjhsbdndnndndnndjsndnsj
Ndjdndjndndndndnd"
"8885081","Karan gun","-","-","-","Not Scannable","521A4CA8-3E47-43CB-B1A4-D0459BE518F3","iPhone 13","Printing Issues","Chen"
"8885082","Karan gun","-","-","-","Not Scannable","521A4CA8-3E47-43CB-B1A4-D0459BE518F3","iPhone 13","Printing Issues","Chen"
"8885083","OnePlus Nord 3 5G","-","-","-","Not Scannable","5a3e7e16247f1783","OnePlus Nord 3 5G","Damaged QR","Test"
"8885084","Karan gun","-","-","-","Not Scannable","521A4CA8-3E47-43CB-B1A4-D0459BE518F3","iPhone 13","Printing Issues","Chen"
"8885085","OnePlus Nord 3 5G","-","-","-","Not Scannable","5a3e7e16247f1783","OnePlus Nord 3 5G","Damaged QR","Test"
"8885087","OnePlus Nord 3 5G","-","-","-","Not Scannable","5a3e7e16247f1783","OnePlus Nord 3 5G","Damaged QR","Test"
"8885126","Oppo 13 pro 5g","-","-","-","Not Scannable","4607c9e18a102d43","OPPO Reno13 Pro 5G","Printing Issues","Fjbb"
"8885128","Oppo 13 pro 5g","-","-","-","Not Scannable","4607c9e18a102d43","OPPO Reno13 Pro 5G","Printing Issues","Fjbb"
"8885130","Oppo 13 pro 5g","Paint Manufacturing","B19272-th677","Asian Paint Premium Emulsion","Not Scannable","4607c9e18a102d43","OPPO Reno13 Pro 5G","Printing Issues","Fjbb"
"8885131","Karan gun","-","-","-","Not Scannable","521A4CA8-3E47-43CB-B1A4-D0459BE518F3","iPhone 13","Printing Issues","Hanna"
"8885135","Karan gun","-","-","-","Not Scannable","521A4CA8-3E47-43CB-B1A4-D0459BE518F3","iPhone 13","Damaged QR","Van"
"8885137","Oppo 13 pro 5g","-","-","-","Not Scannable","4607c9e18a102d43","OPPO Reno13 Pro 5G","Printing Issues","-"
"8885138","Oppo 13 pro 5g","-","-","-","Not Scannable","4607c9e18a102d43","OPPO Reno13 Pro 5G","Printing Issues","-"
"8885149","Karan gun","-","-","-","Not Scannable","521A4CA8-3E47-43CB-B1A4-D0459BE518F3","iPhone 13","Physical Damage","-"
"8885150","Karan gun","-","-","-","Not Scannable","521A4CA8-3E47-43CB-B1A4-D0459BE518F3","iPhone 13","Physical Damage","-"
"8885151","Moto razr","-","-","-","Not Scannable","fc3b8ad2355e27e7","motorola razr 60 ultra","Printing Issues","-"
"8885152","Moto razr","-","-","-","Not Scannable","fc3b8ad2355e27e7","motorola razr 60 ultra","Printing Issues","-"
"8885170","Find x8","Paint Manufacturing","B19272-th677","Asian Paint Premium Emulsion","Not Scannable","a95004b594dd07b3","OPPO Find X8 Pro","Damaged QR","-"
"8885171","Karan gun","-","-","-","Not Scannable","521A4CA8-3E47-43CB-B1A4-D0459BE518F3","iPhone 13","QR Tampered","-"
"8885179","Karan gun","-","-","-","Not Scannable","521A4CA8-3E47-43CB-B1A4-D0459BE518F3","iPhone 13","QR Tampered","-"
"8885191","Find x8","-","-","-","Not Scannable","a95004b594dd07b3","OPPO Find X8 Pro","Damaged QR","-"
"8885192","Find x8","-","-","-","Not Scannable","a95004b594dd07b3","OPPO Find X8 Pro","Damaged QR","-"
"8885194","Find x8","-","-","-","Not Scannable","cb807220dd92354f","Galaxy Z Fold5","Physical Damage","Gggh"
"8885196","Find x8","-","-","-","Not Scannable","cb807220dd92354f","Galaxy Z Fold5","Physical Damage","Gggh"
"8885197","Redmi 14C","-","-","-","Not Scannable","7177c63e9b700c6c","Redmi 14C 5G","Printing Issues","Bzksbsk"
"8885199","Redmi 14C","-","-","-","Not Scannable","7177c63e9b700c6c","Redmi 14C 5G","Printing Issues","Bzksbsk"
"8885202","Mmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm","-","-","-","Not Scannable","3b3cdd049c3fbd6a","V2413","Damaged QR","-"
"8885203","Mmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm","Arihant","B155-gluco09","Glucometer","Not Scannable","3b3cdd049c3fbd6a","V2413","Damaged QR","-"
"8885208","iPhone XR","-","-","-","Not Scannable","38B108F7-3D48-40FD-83D4-F413108FDA77","iPhone XR","Physical Damage","Test"
"8885209","iPhone XR","-","-","-","Not Scannable","38B108F7-3D48-40FD-83D4-F413108FDA77","iPhone XR","Damaged QR","Test"
"8885211","iPhone XR","-","-","-","Not Scannable","38B108F7-3D48-40FD-83D4-F413108FDA77","iPhone XR","Physical Damage","Test"
"8885214","Karan gun","-","-","-","Not Scannable","521A4CA8-3E47-43CB-B1A4-D0459BE518F3","iPhone 13","QR Tampered","-"
"8885215","Karan gun","-","-","-","Not Scannable","521A4CA8-3E47-43CB-B1A4-D0459BE518F3","iPhone 13","QR Tampered","-"
"8885216","Test","-","-","-","Not Scannable","3bb4d896461e8e25","OnePlus Nord CE 3 Lite 5G","Printing Issues","Testing"
"8885226","Testing Mobile Team","-","-","-","Not Scannable","3c0e02b2af93d988","Nothing Phone (2a)","Printing Issues","-"
"8885227","Test","-","-","-","Not Scannable","45338c401d1e9e18","OnePlus Nord CE 3 Lite 5G","Damaged QR","-"
"8885228","Testing Mobile Team","-","-","-","Not Scannable","3c0e02b2af93d988","Nothing Phone (2a)","Printing Issues","-"
"8885229","Test","-","-","-","Not Scannable","45338c401d1e9e18","OnePlus Nord CE 3 Lite 5G","Damaged QR","-"
"8885230","Testing Mobile Team","-","-","-","Not Scannable","3c0e02b2af93d988","Nothing Phone (2a)","Damaged QR","-"
"8885231","Testing Mobile Team","-","-","-","Not Scannable","3c0e02b2af93d988","Nothing Phone (2a)","Damaged QR","-"
"8885232","Testing Mobile Team","-","-","-","Not Scannable","3c0e02b2af93d988","Nothing Phone (2a)","Printing Issues","-"
"8885233","Test","-","-","-","Not Scannable","45338c401d1e9e18","OnePlus Nord CE 3 Lite 5G","Damaged QR","-"
"8885234","Testing Mobile Team","-","-","-","Not Scannable","3c0e02b2af93d988","Nothing Phone (2a)","Damaged QR","-"
"8885235","Testing Mobile Team","-","-","-","Not Scannable","3c0e02b2af93d988","Nothing Phone (2a)","Damaged QR","-"
"8885236","Testing Mobile Team","QAPrit","B105-111111","FD001","Not Scannable","3c0e02b2af93d988","Nothing Phone (2a)","Damaged QR","-"
"8885237","Testing Mobile Team","-","-","-","Not Scannable","3c0e02b2af93d988","Nothing Phone (2a)","Damaged QR","-"
"8885247","Testing Mobile Team","-","-","-","Not Scannable","3c0e02b2af93d988","Nothing Phone (2a)","Damaged QR","-"
"8885248","Testing Mobile Team","QAPrit","B105-111111","FD001","Not Scannable","3c0e02b2af93d988","Nothing Phone (2a)","Damaged QR","-"
"8885249","Testing Mobile Team","QAPrit","B105-111111","FD001","Not Scannable","3c0e02b2af93d988","Nothing Phone (2a)","Damaged QR","-"
"8885253","Testing Mobile Team","-","-","-","Not Scannable","45338c401d1e9e18","OnePlus Nord CE 3 Lite 5G","Damaged QR","-"
"8885274","Testing Mobile Team","-","-","-","Not Scannable","45338c401d1e9e18","OnePlus Nord CE 3 Lite 5G","Printing Issues","-"
"8885275","Testing Mobile Team","-","-","-","Not Scannable","45338c401d1e9e18","OnePlus Nord CE 3 Lite 5G","Printing Issues","-"
"8885279","Karan gun","-","-","-","Not Scannable","521A4CA8-3E47-43CB-B1A4-D0459BE518F3","iPhone 13","Damaged QR","Banaba"
"8885280","Oppo 13 pro 5g","Paint Manufacturing","B19272-arial1cmf4","Asian Paints Acrylic Distemper","Not Scannable","4607c9e18a102d43","OPPO Reno13 Pro 5G","Physical Damage","-"
"8885281","Karan gun","-","-","-","Not Scannable","521A4CA8-3E47-43CB-B1A4-D0459BE518F3","iPhone 13","Damaged QR","Banaba"
"8885288","Moto edge 60 pro","-","-","-","Not Scannable","10d113c5e390b799","motorola edge 60 pro","Printing Issues","-"
"8885322","Zfold","-","-","-","Not Scannable","cb807220dd92354f","Galaxy Z Fold5","Printing Issues","-"
"8885324","Zfold","-","-","-","Not Scannable","cb807220dd92354f","Galaxy Z Fold5","Printing Issues","-"
"8885326","Moto edge 60 pro","-","-","-","Not Scannable","10d113c5e390b799","motorola edge 60 pro","Printing Issues","-"
"8885327","Moto edge 60 pro","-","-","-","Not Scannable","10d113c5e390b799","motorola edge 60 pro","Printing Issues","-"
"8885328","Moto edge 60 pro","-","-","-","Not Scannable","10d113c5e390b799","motorola edge 60 pro","Printing Issues","-"
"8885329","Karan gun","-","-","-","Not Scannable","521A4CA8-3E47-43CB-B1A4-D0459BE518F3","iPhone 13","Physical Damage","-"
"8885330","Oppo 13 pro 5g","-","-","-","Not Scannable","4607c9e18a102d43","OPPO Reno13 Pro 5G","Printing Issues","-"
"8885332","Oppo 13 pro 5g","-","-","-","Not Scannable","4607c9e18a102d43","OPPO Reno13 Pro 5G","QR Tampered","-"
"8885333","Oppo 13 pro 5g","-","-","-","Not Scannable","4607c9e18a102d43","OPPO Reno13 Pro 5G","Printing Issues","-"
"8885334","Oppo 13 pro 5g","-","-","-","Not Scannable","4607c9e18a102d43","OPPO Reno13 Pro 5G","QR Tampered","-"
